ticket_id,region,state,site,subject,description,space,equipment,type,created_on,channel,issue_type,problem_category,problem_subcategory,ticket_state,priority,closed_time,maintenance_team,maintenance_type,ticket_action_type,block,sla_status,sla_end_date
VIJSEZTE-2305414,South,Tennessee,Nashville Green Hills,Cleaning,Cleaning,STORE ROOM,,Asset,2023-09-27,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-27,VIJ_SEZ-Soft Service Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-09-28
CHETA3TE-2308127,South,Florida,Miami Downtown,In LGF ODC 20 & 24 rest room passage area water dispenser water can availability need to ensure by supervisor supervision on hourly basis.,In LGF ODC 20 & 24 rest room passage area water dispenser water can availability need to ensure by supervisor supervision on hourly basis.,BLK3,,Asset,2023-09-27,Web,Request,PANTRY*,Drinking Water Not Available*,Closed,Normal,2023-09-27,ETA3 Soft Service Team,Corrective,Proactive,BLK3,Within SLA,2023-09-28
CHETA1TE-2303971,South,Florida,Miami Beach,5th floor West side LRR health faucet gun leakage no 6,5th floor West side LRR health faucet gun leakage no 6,F5,,Asset,2023-09-19,Mobile_App,Request,Plumbing*,Leaks*,Closed,Critical,2023-09-19,ETA1 Plumber Team,Corrective,Proactive,Block 1,SLA Elapsed,2023-09-19
CHNCAMTE-2313776,South,Florida,Miami Central,Electrical*,Hand dryer switch board panel need to be fixed. at  TOWER 3 / Fifth Floor / Left Wing / LADIES REST ROOM,LRR 1,,Asset,2023-10-09,Email,Request,Electrical*,Hand Drier Is Not Working*,Closed,Normal,2023-10-17,HCL CHN - M&E Team,Corrective,Proactive,LW,SLA Elapsed,2023-10-10
VIJCAMTE-2302581,South,Texas,Dallas West End,Trash bin are not cleaned in Terradyne server room.,Trash bin is cleaned in terradyne server  room.,Terrad Ser R out,,Asset,2023-09-19,Web,Request,Cleaning *,Trash Bin Not Cleaned*,Closed,Normal,2023-09-19,HCL VIJ_Camp- Soft Service Team,Corrective,Proactive,VJW-SEZ,Within SLA,2023-09-20
VIJCAMTE-2302574,South,Texas,Dallas West End,Lights are not working in pump room.,Lights are working in pump room.,PR,,Asset,2023-09-19,Web,Request,Electrical*,Lights Not Working / Flickering*,Closed,Normal,2023-09-19,HCL VIJ_Camp-Electrical Team,Corrective,Proactive,VJW-SEZ,Within SLA,2023-09-20
VIJSEZTE-2305224,South,Tennessee,Nashville Green Hills,ODC-1 w/s-28 chair handle loose sang point.,ODC-1 w/s-28 chair handle loose sang point.,F3,,Asset,2023-09-19,Mobile_App,Request,CARPENTRY*,Table/Chairs/Desk/ Needs Repairs*,Closed,Normal,2023-09-19,VIJ_SEZ-Electrical Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-09-20
CHNOZOTE-2304733,South,Florida,Miami South,Passage walls  stains  cleaning,Passage walls  stains  cleaning,6F,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,Ozone Soft Service Team,Corrective,Proactive,OZ,Within SLA,2023-09-20
CHNCAMTE-2312225,South,Florida,Miami Central,SUB LIGHTING Panel-1 week 37,SUB LIGHTING Panel-1,T7,,Asset,2023-09-19,Web,Request,Electrical*,Power Points*,Closed,Critical,2023-09-19,T7 - M&E Team,Corrective,Proactive,T7,Within SLA,2023-09-19
CHNCAMTE-2312233,South,Florida,Miami Central,SUB POWER Panel - 2 week 37 Pm,SUB POWER Panel - 2,T7,,Asset,2023-09-19,Web,Request,Electrical*,Power Points*,Closed,Critical,2023-09-19,HCL CHN - M&E Team,Corrective,Proactive,T7,Within SLA,2023-09-19
CHETA3TE-2307527,South,Florida,Miami Downtown,Air Condition*,"Feeling too cold, kindly Increase the Temperature in Block 3 / LGF Basement-1 / Lab 02 (EFI Entry Ôø? RTS LAB)",LGF B1,,Asset,2023-09-19,Email,Request,Air Condition*,Too Cool*,Closed,High,2023-09-19,ETA3 HVAC Team,Corrective,Proactive,BLK3,Within SLA,2023-09-20
VIJSEZTE-2305225,South,Tennessee,Nashville Green Hills,ODC-1 w/s-103 chair handle loose sang point.,ODC-1 w/s-103 chair handle loose sang point.,F3,,Asset,2023-09-19,Mobile_App,Request,CARPENTRY*,Table/Chairs/Desk/ Needs Repairs*,Closed,Normal,2023-09-19,VIJ_SEZ-Electrical Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-09-20
CHNCAMTE-2312444,South,Florida,Miami Central,"T5,1st floor C/W Air O water not working","T5,1st floor C/W Air O water not working",T5,,Asset,2023-09-21,Mobile_App,Request,PANTRY*,Drinking Water Not Available*,Closed,Normal,2023-09-21,HCL CHN - Soft Service Team,Corrective,Proactive,T5,Within SLA,2023-09-22
CHNCAMTE-2312155,South,Florida,Miami Central,"FIRE EXIT DOOR	ALL FLOORS,	Tower 6, PM work completed","FIRE EXIT DOOR	ALL FLOORS	,Tower 6,PM work completed",T5,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,T5 - M&E Team,Corrective,Proactive,T5,Within SLA,2023-09-19
CHNCAMTE-2312158,South,Florida,Miami Central,"LDB 1 to 8,3rd floor,Tower 5 PM WORK","LDB 1 to 8,3rd floor,Tower 5 PM WORK",T4,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,T4 - M&E Team,Corrective,Proactive,T4,Within SLA,2023-09-19
CHNCAMTE-2312221,South,Florida,Miami Central,As per 52 week PM calendar 38 week pm for  Tower 5  G/F Flap Barrear PM Activity need to complete,As per 52 week PM calendar 38 week pm for  Tower 5  G/F Flap Barrear PM Activity has been  completed,CW,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,T5 - M&E Team,Corrective,Proactive,CW,Within SLA,2023-09-20
CHETA3TE-2307544,South,Florida,Miami Downtown,UGFbraek out table need to be clean,UGF braek out table need to be clean,BLK2,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,ETA3 Soft Service Team,Corrective,Proactive,BLK2,Within SLA,2023-09-20
CBETIDTE-2303118,South,Florida,Orlando West,Need to check,Need to check,Cafeteria,,Asset,2023-08-30,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-08-30,HCL CBE_Tidel Plumber Team,Corrective,Proactive,M202,Within SLA,2023-08-31
BLRJIGTE-2400365,South,Texas,Austin South,Test#4556,ASDFG,,AHU- AHU-101,Equipment,2024-02-26,Web,Request,ELECTRICAL,Switch Board Faulty,Open,Normal,,Jigini-HVAC Team,Corrective,Proactive,T-4,SLA Elapsed,2024-02-27
HCLCESTE-2303839,South,Texas,Austin Downtown,White board need to be clean,White board need to be clean,FF ODC-3,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Whiteboard Markers Not Available*,Closed,Normal,2023-09-19,Cessna - Soft Service Team,Corrective,Proactive,B9,Within SLA,2023-09-20
CHNCAMTE-2312188,South,Florida,Miami Central,Inspection,Found removed focus light stored at 110 kv controller,110kV Yard,,Asset,2023-09-19,Web,Request,QHSE*,QHSE Technical Service*,Open,Normal,,HCL CHN - M&E Team,Corrective,Proactive,,SLA Elapsed,2023-09-21
HCLCESTE-2303829,South,Texas,Austin Downtown,Unable to plugin charger into switch board,"The ODC-6 switch board plugin will not open until we insert a pen or sharp object. If I need to plug in my laptop or mobile charger, I have to enter a pen or other sharp tool to open it and insert my charger. Please allow that port to make it easier",FF ODC-6,,Asset,2023-09-19,One_Campus,Request,Electrical*,Power Points*,Closed,Critical,2023-09-19,Cessna -Electrical Team,Corrective,Reactive,B9,SLA Elapsed,2023-09-19
CHETA3TE-2307695,South,Florida,Miami Downtown,UGF 20 GRR washbasin tap No 8 sensor not working check and rectify the issue,UGF 20 GRR washbasin tap No 8 sensor not working check and rectify the issue,BLK2,,Asset,2023-09-21,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-21,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-22
CHETA3TE-2307572,South,Florida,Miami Downtown,LGF 3 GRR urinal no 07 sink water nonstop water flowing pls rectify the issue immediately,LGF 3 GRR urinal no 07 sink water nonstop water flowing pls rectify the issue immediately,BLK2,,Asset,2023-09-20,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-20,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-21
CHNCAMTE-2313777,South,Florida,Miami Central,Building Repair - Exterior*,Hand dryer Asset sticker to be placed at  TOWER 3 / Fifth Floor / Left Wing / GENTS REST ROOM,GRR 1,,Asset,2023-10-09,Email,Request,Building Repair - Exterior*,Ashtrays*,On Hold,Normal,,HCL CHN - Soft Service Team,Corrective,Proactive,LW,Within SLA,2023-10-11
BLRITPTE-2303607,South,Texas,Austin East,Switch plat properly fixing done,Switch plat properly fixing done,ODC-03,,Asset,2023-09-19,Mobile_App,Request,Electrical*,Switch Board Faulty*,Closed,Normal,2023-09-19,ITPL-Electrical Team,Corrective,Proactive,South Wing(F7),Within SLA,2023-09-20
CHETA3TE-2307693,South,Florida,Miami Downtown,Air Condition*,"Feeling too cold, kindly Increase the Temperature in Block 3 / LGF Basement-1 / ODC 7 / W 32",LGF B1,,Asset,2023-09-21,Phone,Request,Air Condition*,Too Cool*,Closed,High,2023-09-21,ETA3 HVAC Team,Corrective,Proactive,BLK3,Within SLA,2023-09-22
BLRJIGTE-2400366,South,Texas,Austin South,Space Test,asdfghjk,AHU Room,,Asset,2024-02-26,Web,Request,CLEANING SERVICES,Coffee Spillage,Closed,Normal,2024-02-27,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2024-02-27
CBETIDTE-2303117,South,Florida,Orlando West,Need to check,Need to check,Cafeteria,,Asset,2023-08-30,Mobile_App,Request,Plumbing*,Water Taps Not Working*,Closed,Normal,2023-08-30,HCL CBE_Tidel Plumber Team,Corrective,Proactive,M202,Within SLA,2023-08-31
BLRJIGTE-2400430,South,Texas,Austin South,Ele,Ele,,Electrical Panel,Equipment,2024-02-27,Mobile_App,Request,FIXTURES & FITTINGS,Blinds Not Operating / Broken,Closed,Normal,2024-02-27,Jigini-Electrical Team,Corrective,Proactive,,Within SLA,2024-02-28
BLRMTPTE-2303207,South,Texas,Dallas Uptown,Mtp-01-02-w-19 side metal plate is open condition,Mtp-01-02-w-19 side metal plate is open condition,ODC2,,Asset,2023-09-19,Mobile_App,Request,Fixtures & Fittings *,Railings*,Closed,High,2023-09-19,BLR MTP_ Electrical Team,Corrective,Proactive,WA,Within SLA,2023-09-20
CHETA3TE-2307573,South,Florida,Miami Downtown,LGF 3 GRR urinal no 06 sink water nonstop water flowing pls rectify the issue immediately,LGF 3 GRR urinal no 06 sink water nonstop water flowing pls rectify the issue immediately,BLK2,,Asset,2023-09-20,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-20,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-21
CHNCAMTE-2312203,South,Florida,Miami Central,AS PER 52WEEK PM CALENDER Tower 6 5F SUB LIGHTING Panel-2  36th WEEK PM activity   completed.,AS PER 52WEEK PM CALENDER Tower 6 5F SUB LIGHTING Panel-2  36th WEEK PM activity   completed.,5F,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,HCL CHN - M&E Team,Corrective,Proactive,T6,Within SLA,2023-09-20
HCLCESTE-2303834,South,Texas,Austin Downtown,Table need to be clean,Table need to be clean,Cafeteria,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Chairs/Tables Not Cleaned*,Closed,Normal,2023-09-19,Cessna - Soft Service Team,Corrective,Proactive,B9,Within SLA,2023-09-20
CHETA1TE-2303965,South,Florida,Miami Beach,5th floor Cafeteria hand wash area mirrors need to clean,5th floor Cafeteria hand wash area mirrors need to clean,HWA-1,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Mirrors Not Cleaned*,Closed,Normal,2023-09-19,ETA1 Soft Service team,Corrective,Proactive,Block 1,Within SLA,2023-09-20
CHNCAMTE-2312128,South,Florida,Miami Central,Switch on AC,Please switch on the AC as it is too warm inside the ODC,501-E,,Asset,2023-09-19,One_Campus,Request,Air Condition*,Too Warm*,Closed,High,2023-09-19,HCL CHN - M&E Team,Corrective,Reactive,LW,Within SLA,2023-09-20
BLRMTPTE-2303211,South,Texas,Dallas Uptown,Passage paint mark need to bee clean,Passage paint mark need to bee clean,WB,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,BLR_MTP - Soft Service Team,Corrective,Proactive,C4,Within SLA,2023-09-20
CHETA3TE-2307510,South,Florida,Miami Downtown,"Lgf bay 1 lrr 7, 8 wash basin not working","Lgf bay 1 lrr 7, 8 wash basin not working",LGF B1,,Asset,2023-09-19,Mobile_App,Request,Plumbing*,No Water*,Closed,Normal,2023-09-19,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-20
CBETIDTE-2303115,South,Florida,Orlando West,Need to check,Need to check,Cafeteria,,Asset,2023-08-30,Mobile_App,Request,Cleaning *,Chairs/Tables Not Cleaned*,Closed,Normal,2023-08-30,HCL CBE_Tidel - Soft Service Team,Corrective,Proactive,M202,Within SLA,2023-08-31
BLRJIGTE-2400497,South,Texas,Austin South,Testing,Testing,,Mechanical Ventilation -Fresh Air -Wing A-13,Equipment,2024-02-27,Mobile_App,Request,MOVEMENTS & RELOCATIONS,Equipments,On Hold,Normal,,Jigini-Soft Service Team,Corrective,Proactive,T-1,SLA Elapsed,2024-02-28
CHNCAMTE-2312185,South,Florida,Miami Central,Inspection,Found chemicals & diesel cans are stored without secondary container at STP-2,STP 2,,Asset,2023-09-19,Web,Request,QHSE*,QHSE Technical Service*,Open,Normal,,HCL CHN - M&E Team,Corrective,Proactive,STP 2,SLA Elapsed,2023-09-21
BLRJIGTE-2400397,South,Texas,Austin South,Testing equipment,Testing equipment,,Cutter Pump-1,Equipment,2024-02-27,Mobile_App,Request,CAFETERIA,Drinking Water Not Available,Closed,Normal,2024-02-27,HCL BLR EHS Team,Corrective,Proactive,STP,Within SLA,2024-02-28
MDUELCTE-2306011,West,California,San Francisco Downtown,2 new sensor fixing work done,2 new sensor fixing work done,ODC 1B,,Asset,2023-09-20,Mobile_App,Request,Electrical*,Lighting Sensors*,Closed,Critical,2023-09-22,MDU-Electrical Team,Corrective,Proactive,Tower3,Within SLA,2023-09-20
CHETA3TE-2307574,South,Florida,Miami Downtown,LGF 3 GRR urinal no 05 sink water nonstop water flowing pls rectify the issue immediately,LGF 3 GRR urinal no 05 sink water nonstop water flowing pls rectify the issue immediately,BLK2,,Asset,2023-09-20,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-20,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-21
CHNCAMTE-2313779,South,Florida,Miami Central,Plumbing*,EWC # 1 - Flush button got damaged and need to be fixed. at  TOWER 3 / Fifth Floor / Right Wing / LADIES REST ROOM,LRR 2,,Asset,2023-10-09,Email,Request,Plumbing*,Taps*,Closed,High,2023-10-17,HCL CHN - M&E Team,Corrective,Proactive,RW,SLA Elapsed,2023-10-10
CHETA3TE-2307522,South,Florida,Miami Downtown,lgf  3 grr health faucet gun broken needed to change,lgf  3 grr health faucet gun broken needed to change,GRR,,Asset,2023-09-19,Mobile_App,Request,Plumbing*,Health - Faucet / Taps / Damage*,Closed,Normal,2023-09-19,ETA3 Plumber Team,Corrective,Proactive,SW,Within SLA,2023-09-20
CHETA3TE-2307518,South,Florida,Miami Downtown,Lab 02 infra store room  need to be clean,Lab 02 infra store room  need to be clean,BLK2,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,ETA3 Soft Service Team,Corrective,Proactive,BLK2,Within SLA,2023-09-20
CHNCAMTE-2312173,South,Florida,Miami Central,"AS PER 52WEEK PM CALENDER Plumbing shaft and flow drop, hand wash and urinal pm work. 37WEEK PM activity Tower 5 WORK completed","AS PER 52WEEK PM CALENDER Plumbing shaft and flow drop, hand wash and urinal pm work. 37WEEK PM activity Tower 5 WORK completed",T5,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,HCL CHN - Soft Service Team,Corrective,Proactive,T5,Within SLA,2023-09-19
VIJSEZTE-2305222,South,Tennessee,Nashville Green Hills,ODC-2 w/s-69 cable rise way loose sang point.,ODC-2 w/s-69 cable rise way loose sang point.,ODC1(F3),,Asset,2023-09-19,Mobile_App,Request,Electrical*,Outlet Covers*,Closed,Critical,2023-09-19,VIJ_SEZ-Electrical Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-09-19
CHNCAMTE-2312169,South,Florida,Miami Central,Walkway light fault,Tower 4  front side  bollard light cable fault. correct it,T4,,Asset,2023-09-19,Web,Request,Electrical*,Lights Not Working / Flickering*,Closed,Normal,2023-10-19,HCL CHN - M&E Team,Corrective,Proactive,T4,SLA Elapsed,2023-09-20
CHETA3TE-2307682,South,Florida,Miami Downtown,Need to clean the physical challenge rest room washbasin sink at OSS,Need to clean the physical challenge rest room washbasin sink at OSS,BLK3,,Asset,2023-09-21,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-21,ETA3 Soft Service Team,Corrective,Proactive,BLK3,Within SLA,2023-09-22
CHNCAMTE-2312156,South,Florida,Miami Central,"LDB-1 TO 8,3rd floor,Tower 4, PM WORK","LDB-1 TO 8,3rd floor,Tower 4, PM WORK",T4,,Asset,2023-09-19,Web,Request,Others*,Internal Team Co-Ordination,Closed,Normal,2023-09-19,T4 - M&E Team,Corrective,Proactive,T4,Within SLA,2023-09-19
HCLPUNTE2302122,South,Tennessee,Nashville Music Row,Drawer keys,"Hi, please provide the drawer keys for WTC-09-03-W-17",ODC 3(WTC-09-ODC -WS01till60),,Asset,2023-09-14,One_Campus,Request,Lock and key *,Pedestal*,Closed,Standard,2023-09-14,WTC-Soft Service Team,Corrective,Reactive,WTC,Within SLA,2023-09-14
CHETA3TE-2307687,South,Florida,Miami Downtown,OSS GRR urinals No 3&4 urinal wall tiles joined water leakage pls check and rectify the issue,OSS GRR urinals No 3&4 urinal wall tiles joined water leakage pls check and rectify the issue,BLK3,,Asset,2023-09-21,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-21,ETA3 Plumber Team,Corrective,Proactive,BLK3,Within SLA,2023-09-22
CHNCAMTE-2312604,South,Florida,Miami Central,"52W PPM, W38, Fire - Engine with  Pump, Subsatation-2","52W PPM, W38, Fire - Engine with  Pump, Subsatation-2",WTP 2,,Asset,2023-09-22,Web,Request,Electrical*,Breakers*,Closed,Critical,2023-09-22,Substation2 - M&E Team,Corrective,Proactive,WTP 2,Within SLA,2023-09-22
CHNCAMTE-2313780,South,Florida,Miami Central,Fixtures & Fittings *,EWC # 2 - Flush button gap to be packed with white cement. at  TOWER 3 / Fifth Floor / Left Wing / LADIES REST ROOM,LRR 1,,Asset,2023-10-09,Email,Request,Fixtures & Fittings *,Floor Tiles*,Closed,High,2023-10-17,HCL CHN - M&E Team,Corrective,Proactive,LW,SLA Elapsed,2023-10-10
HCLCESTE-2303863,South,Texas,Austin Downtown,Cafeteria need to be caffee cups or water glass,Cafeteria need to be caffee cups or water glass,Cafeteria,,Asset,2023-09-20,Mobile_App,Request,PANTRY*,Coffee Cups Not Available*,Closed,Normal,2023-09-20,Cessna - Soft Service Team,Corrective,Proactive,B9,Within SLA,2023-09-21
HYDHTCTE-2305751,West,Arizona,Phoenix Midtown,L4 B wing Gent's rest room at wc 3 at  one light was not working please check and Replace,L4 B wing Gent's rest room at wc 3 at  one light was not working please check and Replace,GENTS REST ROOM-2,,Asset,2023-09-21,Mobile_App,Request,Lighting Interior*,Emergency Lights*,Closed,Critical,2023-09-21,HITech-Electrical Team,Corrective,Proactive,H01B,Within SLA,2023-09-21
CHETA3TE-2307690,South,Florida,Miami Downtown,LGF 24 GRR EWC No 2 bottom water leakage check and rectify the issue,LGF 24 GRR EWC No 2 bottom water leakage check and rectify the issue,BLK2,,Asset,2023-09-21,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-21,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-22
BLRJIGTE-2400562,South,Texas,Austin South,OH tickets,,,AC Panel,Equipment,2024-03-01,Web,Request,CAFETERIA,Drinking Water Not Available,Open,Normal,,HCL BLR EHS Team,Corrective,Proactive,,SLA Elapsed,2024-03-02
VIJCAMTE-2302556,South,Texas,Dallas West End,Mirrors needs to be cleaned at SF.,Mirrors are cleaned at SF.,F2,,Asset,2023-09-19,Web,Request,Cleaning *,Mirrors Not Cleaned*,Closed,Normal,2023-09-19,HCL VIJ_Camp- Soft Service Team,Corrective,Proactive,VJW-SEZ,Within SLA,2023-09-20
HCLPUNTE2302165,South,Tennessee,Nashville Music Row,Not cleaning carpet Rosetta room,Not cleaning carpet Rosetta room,Rosetta,,Asset,2023-09-21,Mobile_App,Request,Cleaning *,Carpet*,Closed,High,2023-09-21,WTC-Soft Service Team,Corrective,Proactive,WTC,Within SLA,2023-09-22
BLRJIGTE-2400595,South,Texas,Austin South,test - oh,,,AHU- AHU-105,Equipment,2024-03-04,Web,Request,CLEANING SERVICES,Mirrors Not Cleaned,On Hold,Normal,,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2024-03-05
